Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,
4,FAST,FREAK,MAT_BF,SEL_KNN,2.04099,4856,386,50.1653,3.82185,255,
5,FAST,FREAK,MAT_BF,SEL_KNN,2.51648,4899,414,47.9385,3.76524,231,
6,FAST,FREAK,MAT_BF,SEL_KNN,2.6616,4870,418,49.3541,4.05645,265,
7,FAST,FREAK,MAT_BF,SEL_KNN,2.81883,4868,406,49.3564,3.95255,251,
8,FAST,FREAK,MAT_BF,SEL_KNN,3.19594,4996,396,49.0855,3.96644,253,
9,FAST,FREAK,MAT_BF,SEL_KNN,2.16677,4997,401,50.0541,3.72963,247,

0,FAST,SIFT,MAT_BF,SEL_KNN,2.3749,5063,419,53.0505,4.94066e-324,-1310888880,
1,FAST,SIFT,MAT_BF,SEL_KNN,2.02757,4952,427,60.49,8.12222,316,
2,FAST,SIFT,MAT_BF,SEL_KNN,2.00744,4863,404,57.0202,8.59815,325,
3,FAST,SIFT,MAT_BF,SEL_KNN,2.77721,4840,423,49.8451,9.36989,297,
4,FAST,SIFT,MAT_BF,SEL_KNN,2.07465,4856,386,51.5789,7.74189,311,
5,FAST,SIFT,MAT_BF,SEL_KNN,1.99328,4899,414,56.042,7.26489,291,
6,FAST,SIFT,MAT_BF,SEL_KNN,2.12278,4870,418,53.5209,7.8343,326,
7,FAST,SIFT,MAT_BF,SEL_KNN,2.02551,4868,406,51.9178,7.70751,315,
8,FAST,SIFT,MAT_BF,SEL_KNN,2.01824,4996,396,53.495,7.27957,300,
9,FAST,SIFT,MAT_BF,SEL_KNN,2.427,4997,401,49.8012,7.2414,301,

0,BRISK,BRISK,MAT_BF,SEL_KNN,412.153,2757,264,3.1342,4.94066e-324,-1310888880,
1,BRISK,BRISK,MAT_BF,SEL_KNN,410.677,2777,282,3.29703,1.86118,171,
2,BRISK,BRISK,MAT_BF,SEL_KNN,412.099,2741,282,3.32903,1.96009,176,
3,BRISK,BRISK,MAT_BF,SEL_KNN,410.132,2735,277,3.30298,1.96875,157,
4,BRISK,BRISK,MAT_BF,SEL_KNN,411.681,2757,297,3.47729,2.02862,176,
5,BRISK,BRISK,MAT_BF,SEL_KNN,413.889,2695,279,3.37641,2.09696,174,
6,BRISK,BRISK,MAT_BF,SEL_KNN,412.446,2715,289,3.52008,1.98805,188,
7,BRISK,BRISK,MAT_BF,SEL_KNN,408.887,2628,272,3.18756,1.94545,173,
8,BRISK,BRISK,MAT_BF,SEL_KNN,409.158,2639,266,3.14816,1.82283,171,
9,BRISK,BRISK,MAT_BF,SEL_KNN,415.211,2672,254,3.45013,1.72303,184,

0,BRISK,BRIEF,MAT_BF,SEL_KNN,409.76,2757,264,1.173,4.94066e-324,-1310888880,
1,BRISK,BRIEF,MAT_BF,SEL_KNN,412.344,2777,282,1.28333,1.74153,178,
2,BRISK,BRIEF,MAT_BF,SEL_KNN,412.758,2741,282,1.21295,1.88668,205,
3,BRISK,BRIEF,MAT_BF,SEL_KNN,410.838,2735,277,1.32765,1.81478,185,
4,BRISK,BRIEF,MAT_BF,SEL_KNN,411.611,2757,297,1.27077,1.89881,179,
5,BRISK,BRIEF,MAT_BF,SEL_KNN,409.564,2695,279,1.29028,1.91289,183,
6,BRISK,BRIEF,MAT_BF,SEL_KNN,410.716,2715,289,1.28547,1.88585,195,
7,BRISK,BRIEF,MAT_BF,SEL_KNN,407.891,2628,272,1.19541,1.8625,207,
8,BRISK,BRIEF,MAT_BF,SEL_KNN,408.96,2639,266,1.13336,1.7009,189,
9,BRISK,BRIEF,MAT_BF,SEL_KNN,410.887,2672,254,1.15983,1.61827,183,

0,BRISK,ORB,MAT_BF,SEL_KNN,412.945,2757,264,5.44268,4.94066e-324,-1310888880,
1,BRISK,ORB,MAT_BF,SEL_KNN,413.123,2777,282,5.54621,1.83161,162,
2,BRISK,ORB,MAT_BF,SEL_KNN,412.816,2741,282,5.05219,1.85526,175,
3,BRISK,ORB,MAT_BF,SEL_KNN,411.234,2735,277,5.04413,1.85668,158,
4,BRISK,ORB,MAT_BF,SEL_KNN,408.783,2757,297,5.12155,1.90114,167,
5,BRISK,ORB,MAT_BF,SEL_KNN,411.054,2695,279,5.28664,1.95464,160,
6,BRISK,ORB,MAT_BF,SEL_KNN,413.394,2715,289,7.15276,16.532,182,
7,BRISK,ORB,MAT_BF,SEL_KNN,425.142,2628,272,5.19646,1.83724,167,
8,BRISK,ORB,MAT_BF,SEL_KNN,410.577,2639,266,5.11224,1.72365,171,
9,BRISK,ORB,MAT_BF,SEL_KNN,411.952,2672,254,5.15662,1.6509,172,

0,BRISK,FREAK,MAT_BF,SEL_KNN,412.107,2757,264,50.994,4.94066e-324,-1310888880,
1,BRISK,FREAK,MAT_BF,SEL_KNN,409.696,2777,282,50.1604,1.62416,160,
2,BRISK,FREAK,MAT_BF,SEL_KNN,413.426,2741,282,49.4209,1.78864,177,
3,BRISK,FREAK,MAT_BF,SEL_KNN,410.692,2735,277,49.0572,1.77945,155,
4,BRISK,FREAK,MAT_BF,SEL_KNN,415.285,2757,297,50.592,1.86178,173,
